Batter,avgExitVelo,maxExitVelo,LASweetSpot,hardHitPct,squaredUpPct,kPct,bbPct,whiffPct,chasePct,xBA,xSLG,xWOBA,xBABIP,babip,avgExitVelo_pct,maxExitVelo_pct,LASweetSpot_pct,hardHitPct_pct,squaredUpPct_pct,bbPct_pct,xBA_pct,xSLG_pct,xWOBA_pct,xBABIP_pct,babip_pct,kPct_pct,whiffPct_pct,chasePct_pct,AB,H,AVG,OBP,SLG,HR,SB,OPS,xWOBA_2,xWOBA_2_pct
Caleb Royer,86.72554735222289,96.9990481316294,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.13043478260869565,0.2608695652173913,0.2727272727272727,0.13513513513513514,0.18081915911690613,0.24646119600436725,0.2887031615593193,0.31449524260318806,0.21428571428571427,100,66.66666666666666,83.33333333333334,91.66666666666666,91.66666666666666,91.66666666666666,41.66666666666667,58.333333333333336,83.33333333333334,25,16.666666666666664,41.66666666666667,41.66666666666667,83.33333333333334,33,8,0.242,0.357,0.455,2,0,0.812,0.32,76.92307692307693
Charlie Graham,75.40065413572705,95.23705725588744,0,0.2222222222222222,0,0.13333333333333333,0.21428571428571427,0.3,0.21621621621621623,0.1456308931550837,0.16509939494441764,0.2437293275902284,0.3528520608114916,0.3333333333333333,25,33.33333333333333,0,50,0,83.33333333333334,33.33333333333333,33.33333333333333,41.66666666666667,83.33333333333334,50,33.33333333333333,33.33333333333333,33.33333333333333,13,3,0.231,0.375,0.231,NA,0,0.606,0.23,23.076923076923077
Cole Freeman,82.24557548087948,108.4075334,0.5384615384615384,0.38461538461538464,0.15384615384615385,0.2777777777777778,0.05555555555555555,0.26666666666666666,0.35714285714285715,0.21813641399457895,0.28780285955905865,0.2562477066837265,0.3839168356403054,0.4166666666666667,83.33333333333334,100,100,83.33333333333334,83.33333333333334,33.33333333333333,58.333333333333336,91.66666666666666,50,100,83.33333333333334,25,50,0,29,4,0.138,0.265,0.241,1,1,0.506,0.301,61.53846153846154
Jack Novak,79.83426341558219,96.89915165,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.08333333333333333,0.125,0.3235294117647059,0.21212121212121213,0.2344896216168803,0.2935012533093021,0.26143874751936763,0.34163931344947396,0.3888888888888889,58.333333333333336,41.66666666666667,58.333333333333336,50,66.66666666666666,41.66666666666667,100,100,58.333333333333336,58.333333333333336,66.66666666666666,75,25,41.66666666666667,31,9,0.29,0.405,0.484,1,5,0.889,0.268,46.15384615384615
Jackson Smith,84.28141701022395,96.97746790603108,0.5217391304347826,0.43478260869565216,0.2608695652173913,0.03333333333333333,0.034482758620689655,0.09523809523809523,0.16326530612244897,0.2227267967966818,0.2739679600209164,0.26470845715224844,0.3547725193084965,0.2692307692307692,91.66666666666666,50,91.66666666666666,100,100,8.333333333333332,75,83.33333333333334,66.66666666666666,91.66666666666666,33.33333333333333,91.66666666666666,91.66666666666666,58.333333333333336,46,17,0.37,0.431,0.478,1,3,0.909,0.317,69.23076923076923
Jackson Stanek,81.91616475108773,96.99174987,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.29411764705882354,0.1875,0.3333333333333333,0.10810810810810811,0.09291979267211221,0.10351291147822245,0.21710828205782778,0.2682853424976736,0.375,75,58.333333333333336,25,75,75,66.66666666666666,8.333333333333332,8.333333333333332,25,8.333333333333332,58.333333333333336,16.666666666666664,16.666666666666664,100,21,8,0.381,0.536,0.476,NA,0,1.012,0.255,38.46153846153847
Kannon Kleine,78.25152939475764,89.51428144,0,0,0,0.7142857142857143,0.14285714285714285,0.6363636363636364,0.17391304347826086,0.02465728597885226,0.022933701748716673,0.020852999717056214,0.19384263961161655,0,41.66666666666667,8.333333333333332,0,0,0,50,0,0,0,0,0,0,0,50,21,3,0.143,0.269,0.143,NA,0,0.412,0.054,7.6923076923076925
Michael Kuska,73.96739512054677,89.87912747016011,0.4166666666666667,0,0,0.11764705882352941,0.3125,0.21875,0.13157894736842105,0.11204569276209393,0.11222144077552641,0.3160338391006953,0.35020873813911585,0.2222222222222222,16.666666666666664,16.666666666666664,75,0,0,100,25,16.666666666666664,91.66666666666666,66.66666666666666,25,50,58.333333333333336,91.66666666666666,18,4,0.222,0.517,0.222,NA,2,0.739,0.356,92.3076923076923
Nolan McCrossin,81.45629011980736,98.13361117808044,0.29411764705882354,0.23529411764705882,0,0.09523809523809523,0.05263157894736842,0.15,0.2727272727272727,0.2218019137014926,0.2380339591272007,0.23961930442942708,0.3164103553181064,0.3125,66.66666666666666,83.33333333333334,33.33333333333333,66.66666666666666,0,16.666666666666664,66.66666666666666,41.66666666666667,33.33333333333333,33.33333333333333,41.66666666666667,66.66666666666666,66.66666666666666,16.666666666666664,29,8,0.276,0.4,0.414,1,0,0.814,NA,NA
Ryan Colucci,72.44645680769253,99.27441448,0.14285714285714285,0.14285714285714285,0,0.5,0,0.42857142857142855,0.21739130434782608,0.09853203390789965,0.1123422411852667,0.09176258070755554,0.28567678706969135,0.42857142857142855,0,91.66666666666666,16.666666666666664,41.66666666666667,0,0,16.666666666666664,25,8.333333333333332,16.666666666666664,91.66666666666666,8.333333333333332,8.333333333333332,25,15,3,0.2,0.333,0.267,NA,2,0.6,0.143,15.384615384615383
Shea Zbrozek,73.94135399680209,88.81149626,0.4117647058823529,0,0,0.10526315789473684,0.05263157894736842,0.14705882352941177,0.2962962962962963,0.2264999995763413,0.25662482049211716,0.2140956024404848,0.3376935495354808,0.5,8.333333333333332,0,66.66666666666666,0,0,16.666666666666664,83.33333333333334,66.66666666666666,16.666666666666664,50,100,58.333333333333336,75,8.333333333333332,34,11,0.324,0.41,0.382,NA,2,0.792,0.277,53.84615384615385
Tyler Thompson,79.50311136942969,93.85044896356683,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.08,0.17391304347826086,0.10526315789473684,0.14285714285714285,0.22827876892206486,0.2654897363377027,0.33848864209855606,0.3515213483327763,0.4117647058823529,50,25,41.66666666666667,25,58.333333333333336,58.333333333333336,91.66666666666666,75,100,75,75,83.33333333333334,83.33333333333334,75,36,12,0.333,0.468,0.417,NA,0,0.885,0.367,100
Zach Zychowski,77.85994043711216,97.22242594,0.375,0.125,0,0,0.20833333333333334,0.09375,0.16279069767441862,0.2107965445075991,0.24455398370337722,0.26690409538431736,0.3285145964327112,0.1111111111111111,33.33333333333333,75,50,33.33333333333333,0,75,50,50,75,41.66666666666667,8.333333333333332,100,100,66.66666666666666,33,5,0.152,0.31,0.152,NA,2,0.462,0.326,84.61538461538461
