Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Caleb Ochs,Changeup,12,5,7,7.0,73.78,1,0,0,1,0,2,2,0.25,0.0,0.75,0.0,0.031,0.0,80.75,26.66,1829.0,16.67,50.0
Caleb Ochs,Curveball,25,24,1,14.5,69.0,0,0,0,0,0,2,3,0.0,0.111,0.0,0.146,0.0,0.056,84.18,-6.24,1833.0,12.0,33.33
Caleb Ochs,Sinker,2,1,1,1.2,73.41,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,1928.0,0.0,NaN
Lawson Shickel,Fastball,104,64,40,74.8,81.57,4,3,1,0,0,5,11,0.25,0.333,0.312,0.483,0.354,0.522,82.03,20.95,1988.0,3.85,19.23
Lawson Shickel,Slider,15,12,3,10.8,73.46,0,0,0,0,0,0,1,0.0,0.75,0.0,0.688,0.0,0.668,63.78,32.25,2159.0,13.33,0.0
Lawson Shickel,Curveball,19,18,1,13.7,71.3,0,0,0,0,0,2,2,0.0,0.056,0.0,0.146,0.0,0.0,72.33,48.2,2114.0,21.05,22.22
Lawson Shickel,Sinker,1,0,1,0.7,79.87,0,0,0,0,0,0,0,0.0,,0.0,,0.024,0.695,,,,0.0,NaN
Thomas Mickels,Fastball,151,107,44,54.9,80.51,13,11,1,1,0,6,24,0.448,0.434,0.552,0.52,0.227,0.441,81.15,19.55,1735.0,7.95,16.22
Thomas Mickels,Changeup,32,12,20,11.6,73.87,0,0,0,0,0,0,3,0.0,0.167,0.0,0.344,0.0,0.211,72.43,28.59,1578.0,9.38,0.0
Thomas Mickels,Slider,14,9,5,5.1,67.75,3,2,1,0,0,0,7,0.429,0.306,0.571,0.365,0.045,0.324,80.06,16.53,1561.0,0.0,0.0
Thomas Mickels,Cutter,67,52,15,24.4,69.35,4,4,0,0,0,8,13,0.19,0.25,0.19,0.279,0.063,0.178,73.36,13.13,1559.0,14.93,33.33
Thomas Mickels,Sinker,11,7,4,4.0,74.79,1,0,0,1,0,1,2,0.333,0.056,1.0,0.146,0.024,0.336,78.73,38.11,1542.0,18.18,25.0
Owen Shissler,Fastball,52,44,8,78.8,86.12,1,1,0,0,0,5,4,0.091,0.0,0.091,0.0,0.099,0.139,71.74,13.41,1962.0,25.0,27.78
Owen Shissler,Slider,5,5,0,7.6,76.82,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1882.0,40.0,66.67
Owen Shissler,Cutter,9,4,5,13.6,75.09,1,1,0,0,0,1,1,0.5,0.167,0.5,0.156,0.056,0.179,74.74,32.62,1833.0,0.0,16.67
Jack Stellano,Fastball,32,17,15,97.0,85.16,0,0,0,0,0,4,2,0.0,,0.0,,0.116,,64.78,42.55,1858.0,21.88,25.0
Jack Stellano,Changeup,1,1,0,3.0,80.51,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1366.0,0.0,0.0
Teagan Disharoon,Sinker,64,39,25,44.8,76.73,4,3,1,0,0,3,11,0.286,0.5,0.357,0.646,0.151,0.524,80.79,17.96,1629.0,6.25,30.0
Teagan Disharoon,Slider,22,18,4,15.4,67.3,2,2,0,0,0,0,4,0.5,0.306,0.5,0.312,0.045,0.241,67.01,34.83,1908.0,4.55,0.0
Teagan Disharoon,Changeup,19,12,7,13.3,71.87,0,0,0,0,0,0,3,0.0,0.458,0.0,0.562,0.017,0.541,82.14,31.97,1555.0,10.53,0.0
Teagan Disharoon,Fastball,23,23,0,16.1,79.16,2,2,0,0,0,2,6,0.25,0.292,0.25,0.938,0.045,0.591,82.9,30.29,1695.0,21.74,50.0
Teagan Disharoon,Cutter,14,10,4,9.8,65.45,1,0,1,0,0,1,4,0.167,0.15,0.333,0.188,0.049,0.309,73.61,19.6,1895.0,7.14,20.0
Teagan Disharoon,Splitter,1,0,1,0.7,72.86,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1499.0,0.0,NaN
Brayden Elliott,Fastball,20,5,15,45.5,82.35,4,2,2,0,0,0,7,0.571,0.467,0.857,0.675,0.309,,76.42,25.46,1947.0,10.0,0.0
Brayden Elliott,Sinker,2,0,2,4.5,74.7,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2319.0,0.0,NaN
Brayden Elliott,Curveball,13,5,8,29.5,73.37,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.05,,63.58,47.85,2331.0,7.69,33.33
Brayden Elliott,Changeup,1,0,1,2.3,75.7,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1608.0,0.0,NaN
Brayden Elliott,Slider,8,1,7,18.2,73.91,0,0,0,0,0,1,2,0.0,0.25,0.0,0.281,0.0,,84.65,-2.36,2274.0,37.5,100.0
Brennan Tomhave,Fastball,60,38,20,76.9,84.93,4,2,2,0,0,4,9,0.308,,0.462,,0.264,,72.09,10.45,1982.0,10.0,40.0
Brennan Tomhave,Changeup,4,2,2,5.1,74.25,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1651.0,0.0,NaN
Brennan Tomhave,Slider,14,11,3,17.9,73.74,1,1,0,0,0,2,3,0.2,,0.2,,0.047,,86.69,-8.72,2242.0,0.0,66.67
Brody Stonecipher,Fastball,168,107,61,68.9,83.51,10,9,1,0,0,7,21,0.345,0.231,0.379,0.365,0.273,0.355,76.5,20.01,2004.0,9.52,11.67
Brody Stonecipher,Slider,47,35,12,19.3,73.77,2,1,1,0,0,3,7,0.2,0.204,0.3,0.292,0.069,0.233,75.84,35.86,2340.0,4.26,15.79
Brody Stonecipher,Changeup,29,9,20,11.9,76.75,3,3,0,0,0,3,5,0.375,0.139,0.375,0.177,0.065,0.0,82.18,28.49,1700.0,10.34,23.08
Carter Sellers,Fastball,84,55,26,67.2,86.81,4,3,1,0,0,3,9,0.333,0.0,0.417,0.0,0.275,,75.09,27.84,1897.0,9.52,20.0
Carter Sellers,Cutter,39,20,17,31.2,74.16,0,0,0,0,0,4,4,0.0,,0.0,,0.027,,65.43,11.3,2069.0,2.56,40.0
Carter Sellers,Slider,2,1,1,1.6,73.58,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.026,,,,2038.0,50.0,50.0
Cayden Rose,Sinker,17,11,6,6.3,70.3,4,3,1,0,0,1,6,0.571,0.319,0.714,0.438,0.055,0.111,83.7,0.28,1491.0,11.76,33.33
Cayden Rose,Fastball,173,110,57,63.8,75.68,9,6,2,1,0,4,32,0.243,0.27,0.351,0.335,0.199,0.225,75.32,20.88,1752.0,6.94,14.29
Cayden Rose,Changeup,41,24,17,15.1,68.9,4,3,0,0,1,3,12,0.267,0.108,0.467,0.144,0.066,0.07,71.49,20.0,1466.0,14.63,25.0
Cayden Rose,Cutter,15,11,4,5.5,67.16,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,84.81,38.44,1433.0,6.67,0.0
Cayden Rose,Curveball,12,4,8,4.4,66.09,1,0,1,0,0,0,2,0.5,0.375,1.0,0.906,0.018,0.642,90.06,28.18,1309.0,0.0,0.0
Cayden Rose,Slider,13,7,5,4.8,67.04,1,0,1,0,0,0,2,0.5,0.667,1.0,0.812,0.027,0.771,83.41,30.85,1467.0,0.0,0.0
Ethan Plym,Fastball,94,55,39,43.5,83.15,5,3,2,0,0,2,12,0.357,0.299,0.5,0.505,0.186,0.466,85.43,21.22,1745.0,8.51,9.52
Ethan Plym,Slider,56,39,17,25.9,72.18,4,2,1,0,1,6,5,0.4,0.296,0.8,0.438,0.142,0.334,81.15,7.06,1984.0,8.93,31.58
Ethan Plym,Changeup,4,1,3,1.9,75.82,1,1,0,0,0,0,3,0.333,0.5,0.333,0.469,0.017,0.413,82.91,-1.8,1376.0,0.0,0.0
Ethan Plym,Curveball,61,46,15,28.2,72.2,3,3,0,0,0,3,10,0.214,0.217,0.214,0.256,0.107,0.392,77.06,22.77,2036.0,4.92,13.04
Ethan Plym,Sinker,1,0,1,0.5,84.63,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1729.0,100.0,100.0
Ethan Robbins,Fastball,127,80,47,56.7,75.4,10,8,2,0,0,3,20,0.455,0.306,0.545,0.375,0.306,0.36,80.76,14.63,1887.0,4.72,15.0
Ethan Robbins,Slider,12,5,7,5.4,66.48,1,1,0,0,0,0,1,1.0,0.083,1.0,0.125,0.018,0.111,65.29,2.35,1189.0,0.0,0.0
Ethan Robbins,Changeup,38,29,9,17.0,73.93,3,3,0,0,0,1,7,0.375,0.385,0.375,0.555,0.067,0.801,78.98,20.37,1865.0,10.53,12.5
Ethan Robbins,Sinker,43,32,11,19.2,75.02,1,1,0,0,0,2,8,0.1,0.1,0.1,0.162,0.032,0.196,71.47,22.35,1743.0,6.98,28.57
Ethan Robbins,Curveball,1,1,0,0.4,55.98,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,3334.0,0.0,NaN
Ethan Robbins,Cutter,3,1,2,1.3,66.22,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1357.0,33.33,100.0
Jack Wisdom,Fastball,56,38,16,58.9,80.24,7,4,1,2,0,2,17,0.368,0.269,0.632,0.418,0.31,0.315,74.24,22.74,2021.0,7.14,28.57
Jack Wisdom,Slider,31,29,2,32.6,72.67,0,0,0,0,0,1,3,0.0,0.375,0.0,0.344,0.053,0.534,84.19,39.14,2315.0,9.68,11.11
Jack Wisdom,Changeup,1,0,0,1.1,73.81,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1365.0,0.0,NaN
Jack Wisdom,Curveball,7,7,0,7.4,75.28,1,1,0,0,0,0,1,1.0,0.667,1.0,0.688,0.034,0.724,70.98,15.23,2559.0,14.29,0.0
Jackson Beiler,Slider,21,15,6,20.4,76.1,2,2,0,0,0,2,4,0.333,0.0,0.333,0.031,0.077,0.0,78.66,4.28,1880.0,14.29,33.33
Jackson Beiler,Fastball,79,45,34,76.7,86.17,7,6,1,0,0,4,12,0.438,0.345,0.5,0.366,0.349,0.175,75.37,27.32,1789.0,8.86,12.9
Jackson Beiler,Changeup,3,0,3,2.9,80.12,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1413.0,0.0,0.0
Kam Ross,Fastball,18,16,2,28.1,81.53,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1987.0,27.78,40.0
Kam Ross,Sinker,28,16,9,43.8,80.8,3,3,0,0,0,0,5,0.6,0.467,0.6,0.512,0.21,0.464,73.11,19.53,1905.0,10.71,0.0
Kam Ross,Slider,18,12,5,28.1,71.88,1,1,0,0,0,1,5,0.143,0.143,0.143,0.161,0.056,0.199,75.69,17.03,2298.0,16.67,25.0
Logan Lynch,Sinker,17,13,4,6.5,86.02,1,1,0,0,0,0,3,0.333,0.583,0.333,0.562,0.027,0.51,79.33,19.02,2385.0,5.88,0.0
Logan Lynch,Fastball,196,134,62,74.8,87.21,8,8,0,0,0,11,20,0.25,0.118,0.25,0.188,0.287,0.351,72.26,22.63,2362.0,13.27,22.45
Logan Lynch,Curveball,26,11,15,9.9,76.49,1,1,0,0,0,3,2,0.2,0.167,0.2,0.275,0.015,0.282,89.0,19.24,2429.0,7.69,21.43
Logan Lynch,Slider,2,0,2,0.8,79.08,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,2485.0,0.0,50.0
Logan Lynch,Changeup,3,2,1,1.1,75.65,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2300.0,0.0,0.0
Logan Lynch,Cutter,18,11,7,6.9,81.76,1,0,1,0,0,1,4,0.2,0.5,0.4,0.594,0.022,0.374,75.43,16.58,2450.0,5.56,12.5
Lucas Frank,Curveball,56,29,22,31.3,68.46,3,3,0,0,0,2,9,0.273,0.431,0.273,0.5,0.059,0.272,75.72,2.05,1959.0,5.36,5.88
Lucas Frank,Fastball,97,39,52,54.2,82.75,10,6,3,1,0,3,23,0.37,0.317,0.556,0.42,0.286,0.38,81.92,9.51,1563.0,8.25,17.65
Lucas Frank,Changeup,22,8,12,12.3,76.42,0,0,0,0,0,3,2,0.0,0.083,0.0,0.229,0.0,0.0,88.39,40.57,1292.0,31.82,60.0
Lucas Frank,Slider,2,0,2,1.1,70.67,0,0,0,0,0,0,0,0.0,,0.0,,0.016,,,,2042.0,0.0,NaN
Lucas Frank,Sinker,1,1,0,0.6,76.43,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1297.0,0.0,NaN
Lucas Frank,Splitter,1,1,0,0.6,75.54,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1231.0,0.0,NaN
Luke Klunke,Fastball,60,44,16,77.9,84.24,3,2,1,0,0,0,10,0.3,0.267,0.4,0.438,0.417,0.546,87.5,10.24,2034.0,6.67,0.0
Luke Klunke,Changeup,3,1,2,3.9,78.14,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1571.0,0.0,NaN
Luke Klunke,Slider,11,7,4,14.3,75.01,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,59.42,66.98,1945.0,0.0,0.0
Luke Klunke,Cutter,3,1,2,3.9,77.85,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,1997.0,0.0,33.33
Matt Brummer,Fastball,174,100,73,63.5,85.55,16,14,1,1,0,10,31,0.39,0.318,0.463,0.409,0.297,0.381,79.62,20.49,2134.0,12.07,21.74
Matt Brummer,Slider,24,18,6,8.8,75.07,2,2,0,0,0,2,2,0.667,0.75,0.667,0.75,0.027,0.58,99.69,-2.08,2060.0,12.5,28.57
Matt Brummer,Curveball,63,40,23,23.0,74.34,2,2,0,0,0,6,8,0.143,0.225,0.143,0.225,0.048,0.293,68.98,29.9,2000.0,9.52,33.33
Matt Brummer,Changeup,12,2,10,4.4,79.02,0,0,0,0,0,0,2,0.0,,0.0,,0.0,,80.98,22.76,1911.0,8.33,0.0
Matt Brummer,Sinker,1,0,1,0.4,80.55,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1961.0,0.0,NaN
Miles Woolsey,Fastball,124,84,38,70.5,86.43,1,1,0,0,0,7,16,0.043,0.125,0.043,0.266,0.171,0.369,83.29,16.45,2044.0,11.29,22.58
Miles Woolsey,Curveball,2,2,0,1.1,71.93,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,2367.0,50.0,100.0
Miles Woolsey,Changeup,16,6,9,9.1,79.24,1,1,0,0,0,0,2,0.5,0.333,0.5,0.25,0.023,0.278,72.43,-2.78,1956.0,0.0,0.0
Miles Woolsey,Slider,34,31,3,19.3,73.58,1,1,0,0,0,0,5,0.2,0.125,0.2,0.219,0.062,0.344,84.78,26.26,2332.0,14.71,0.0
Owen Laroe,Slider,25,14,10,30.1,67.13,2,2,0,0,0,1,5,0.333,0.229,0.333,0.203,0.124,0.284,76.92,0.56,1695.0,0.0,14.29
Owen Laroe,Fastball,56,34,19,67.5,77.83,4,3,0,0,1,1,8,0.4,0.778,0.7,1.25,0.307,0.827,83.69,22.7,1916.0,7.14,10.0
Owen Laroe,Curveball,1,1,0,1.2,68.92,1,1,0,0,0,0,1,1.0,0.917,1.0,1.0,0.045,,89.29,14.06,,0.0,0.0
Owen Laroe,Changeup,1,1,0,1.2,74.54,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1824.0,0.0,NaN
Patrick Kennedy,Changeup,18,10,8,11.3,73.65,0,0,0,0,0,2,0,0.0,,0.0,,0.0,,,,1473.0,16.67,33.33
Patrick Kennedy,Fastball,108,79,29,67.9,84.39,11,9,2,0,0,5,22,0.407,0.393,0.481,0.54,0.318,0.435,79.14,15.14,2075.0,5.56,22.73
Patrick Kennedy,Slider,13,10,3,8.2,74.32,2,1,0,0,1,1,3,0.5,0.0,1.25,0.0,0.087,0.0,76.64,12.56,1906.0,7.69,16.67
Patrick Kennedy,Curveball,20,16,4,12.6,70.49,0,0,0,0,0,2,2,0.0,0.25,0.0,0.25,0.0,0.223,76.47,-7.86,1803.0,0.0,12.5
Payton Knoll,Fastball,131,96,30,69.7,80.99,7,5,1,1,0,6,13,0.368,0.289,0.526,0.454,0.404,0.442,72.63,19.07,1865.0,6.11,24.0
Payton Knoll,Sinker,37,24,13,19.7,80.98,1,1,0,0,0,3,3,0.167,0.167,0.167,0.188,0.041,0.262,74.98,17.2,1833.0,16.22,33.33
Payton Knoll,Cutter,5,1,4,2.7,66.06,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,1747.0,20.0,50.0
Payton Knoll,Splitter,1,1,0,0.5,72.21,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1324.0,0.0,NaN
Payton Knoll,Curveball,4,2,2,2.1,68.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.079,80.64,50.53,1809.0,25.0,0.0
Payton Knoll,Changeup,5,5,0,2.7,71.67,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,1214.0,20.0,0.0
Payton Knoll,Slider,5,3,2,2.7,67.75,1,1,0,0,0,0,1,1.0,0.583,1.0,0.562,0.023,0.501,66.41,36.65,1719.0,0.0,0.0
Reed Frazier,Fastball,130,84,46,64.4,81.54,7,6,1,0,0,7,28,0.2,0.212,0.229,0.324,0.183,0.314,79.07,16.44,1882.0,12.31,23.33
Reed Frazier,Slider,39,26,13,19.3,71.23,3,1,1,0,1,2,6,0.375,0.393,0.875,0.67,0.077,0.448,73.54,24.41,1932.0,12.82,22.22
Reed Frazier,Cutter,25,15,10,12.4,74.78,2,2,0,0,0,1,4,0.4,0.25,0.4,0.292,0.032,0.223,72.47,11.63,1945.0,8.0,20.0
Reed Frazier,Curveball,8,6,2,4.0,68.68,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,85.1,20.34,1850.0,12.5,NaN
Trey Blanchette,Sinker,1,1,0,20.0,67.94,0,0,0,0,0,0,1,0.0,,0.0,,0.0,,,,1646.0,0.0,NaN
Trey Blanchette,Fastball,4,2,2,80.0,76.13,2,1,0,0,1,0,2,1.0,0.667,2.5,0.969,0.99,,85.62,21.86,1777.0,0.0,NaN
