Pitcher,TaggedPitchType,stuff+,stuff+_percentile
Braden Deverman,Changeup,404.00834120312624,100.0
Lucas Frank,Changeup,402.1236599283864,95.83333333333334
Caleb Ochs,Changeup,393.4971204143444,91.66666666666666
Miles Woolsey,Changeup,384.8865979479031,87.5
Nolan Bowles,Changeup,332.8080156347057,83.33333333333334
Brody Stonecipher,Changeup,287.6871005247432,79.16666666666666
Cade Starrick,Changeup,216.7100989518804,75.0
Andrew Tay,Changeup,200.18440337805762,70.83333333333334
Canden Hardman,Changeup,170.2270534430065,66.66666666666666
Mason Orton,Changeup,155.11042380034502,62.5
Madden Johnson,Changeup,134.29692816106916,58.333333333333336
Noah Suttles,Changeup,72.44380428818438,54.166666666666664
Kellen Hershberger,Changeup,70.20226775118212,50.0
Ethan Robbins,Changeup,69.66630334260431,45.83333333333333
Cayden Rose,Changeup,60.91043704575518,41.66666666666667
Ethan Plym,Changeup,55.911997443767376,37.5
Cameron Clifton,Changeup,52.84751147365662,33.33333333333333
Marshall Ingold,Changeup,48.8947757545959,29.166666666666668
Jack Piper,Changeup,42.38761785395992,25.0
Teagan Disharoom,Changeup,33.69679539787962,20.833333333333336
Cole Mcclusky,Changeup,14.920483133517582,16.666666666666664
Adan Nieves,Changeup,9.115010902192557,12.5
Thomas Mickels,Changeup,8.879452322900526,8.333333333333332
Brett Granger,Changeup,6.492996912840299,4.166666666666666
Luke Gallet,Curveball,379.3888781965451,100.0
Brandon Ward,Curveball,245.5817468359502,96.29629629629629
Sammy Driscoll,Curveball,238.3516269067795,92.5925925925926
Cayden Rose,Curveball,229.58733778830367,88.88888888888889
Payton Knoll,Curveball,200.296567208854,85.18518518518519
Braden Mehn,Curveball,193.65355415218627,81.48148148148148
Canden Hardman,Curveball,165.8788583200411,77.77777777777779
Logan Lynch,Curveball,142.56482227897658,74.07407407407408
Tyson Sorensen,Curveball,132.4200963409745,70.37037037037037
Donte Frantz,Curveball,122.1006644863981,66.66666666666666
Braden Alexander,Curveball,119.41499290539127,62.96296296296296
Cooper Stolfa,Curveball,116.6823902950669,59.25925925925925
Caleb Ochs,Curveball,115.38135822960993,55.55555555555556
Matt Brummer,Curveball,109.28465737455409,51.85185185185185
Jack Piper,Curveball,94.55519679663573,48.148148148148145
Ethan Plym,Curveball,78.37940660311031,44.44444444444444
Cole Mcclusky,Curveball,71.48359643559581,40.74074074074074
Patrick Kennedy,Curveball,68.89467923527766,37.03703703703704
Nolan Bowles,Curveball,68.70032157522515,33.33333333333333
Brett Granger,Curveball,65.82178313527103,29.629629629629626
Noah Suttles,Curveball,59.02132810433967,25.925925925925924
Cameron Clifton,Curveball,46.65028890830252,22.22222222222222
Jack Wisdom,Curveball,42.379711352725664,18.51851851851852
Kellen Hershberger,Curveball,39.77376365103984,14.814814814814813
Lucas Frank,Curveball,32.508744162773006,11.11111111111111
Marshall Ingold,Curveball,19.51937071514812,7.4074074074074066
Adan Nieves,Curveball,10.790706182064213,3.7037037037037033
Owen Shissler,Fastball,474.1199570161613,100.0
Kam Ross,Fastball,285.17808277299486,98.07692307692307
Logan Elsbury,Fastball,259.1739276231937,96.15384615384616
Joey Kahwaji,Fastball,217.04970421233142,94.23076923076923
Matt Brummer,Fastball,181.62254502370826,92.3076923076923
Tyson Sorensen,Fastball,170.25402042967315,90.38461538461539
Cooper Stolfa,Fastball,164.8722361465437,88.46153846153845
Caden Addis,Fastball,159.59420871422952,86.53846153846155
Joe Stellano,Fastball,158.64333154751677,84.61538461538461
Logan Lynch,Fastball,151.58857964083117,82.6923076923077
Kellen Hershberger,Fastball,144.56158119207407,80.76923076923077
Cade Starrick,Fastball,142.74982250183646,78.84615384615384
Brett Granger,Fastball,138.83351246999865,76.92307692307693
Roy Rolston,Fastball,135.89411500693396,75.0
Luke Gallet,Fastball,129.29469014639145,73.07692307692307
Ethan Plym,Fastball,118.55077149379618,71.15384615384616
Nolan Vanduzer,Fastball,118.42241576139178,69.23076923076923
Marshall Ingold,Fastball,115.97004034017154,67.3076923076923
Payton Knoll,Fastball,115.90224902453198,65.38461538461539
Cayden Rose,Fastball,115.6890610896227,63.46153846153846
Andrew Tay,Fastball,111.05398865832733,61.53846153846154
Brody Stonecipher,Fastball,104.47944992650633,59.61538461538461
Jack Piper,Fastball,94.17933121786466,57.692307692307686
Ethan Robbins,Fastball,87.53979184521616,55.769230769230774
Braden Alexander,Fastball,85.99571671990951,53.84615384615385
Mason Orton,Fastball,83.63173032927435,51.92307692307693
Noah Suttles,Fastball,80.90406409141903,50.0
Devan Tupper,Fastball,77.87927389009572,48.07692307692308
Madden Johnson,Fastball,76.0038506298604,46.15384615384615
Lawson Shickel,Fastball,75.94269479807292,44.230769230769226
Patrick Kennedy,Fastball,72.10428558983013,42.30769230769231
Sammy Driscoll,Fastball,65.27487933619143,40.38461538461539
Lucas Frank,Fastball,64.41227877035433,38.46153846153847
Mitchell Wilson,Fastball,62.64856066846658,36.53846153846153
Connor Hale,Fastball,62.49993917234787,34.61538461538461
Nolan Bowles,Fastball,58.0430715207573,32.69230769230769
Reed Frazier,Fastball,55.919454596928574,30.76923076923077
Jack Wisdom,Fastball,54.98026983432524,28.846153846153843
Thomas Mickels,Fastball,54.68474358491672,26.923076923076923
Braden Deverman,Fastball,52.18535411365811,25.0
Miles Woolsey,Fastball,45.18467870214018,23.076923076923077
Cole Mcclusky,Fastball,44.303213727014494,21.153846153846153
Caleb Ochs,Fastball,39.60109448198214,19.230769230769234
Canden Hardman,Fastball,30.4430811122313,17.307692307692307
Braden Mehn,Fastball,29.407998757577534,15.384615384615385
Brandon Ward,Fastball,27.384550794170124,13.461538461538462
Owen Laroe,Fastball,24.516900147048005,11.538461538461538
Donte Frantz,Fastball,24.483151180819945,9.615384615384617
Cameron Clifton,Fastball,22.80196188866841,7.6923076923076925
Adan Nieves,Fastball,22.545620337185667,5.769230769230769
Teagan Disharoom,Fastball,16.87950144981928,3.8461538461538463
Jackson Beiler,Fastball,13.734650728000673,1.9230769230769231
Payton Knoll,Sinker,212.25771622672985,100.0
Jack Piper,Sinker,177.2093330969855,93.33333333333333
Caden Addis,Sinker,166.72284106087847,86.66666666666667
Ethan Robbins,Sinker,119.57675386531022,80.0
Cayden Rose,Sinker,107.36746475210758,73.33333333333333
Kam  Ross,Sinker,100.95567388099177,66.66666666666666
Caleb Ochs,Sinker,76.71725277590845,60.0
Braden Mehn,Sinker,72.5132920397492,53.333333333333336
Thomas Mickels,Sinker,71.33718242131272,46.666666666666664
Marshall Ingold,Sinker,59.35391070518928,40.0
Logan Lynch,Sinker,56.65430975719605,33.33333333333333
Noah Suttles,Sinker,53.617178011735824,26.666666666666668
Teagan Disharoon,Sinker,28.91143490193917,20.0
Nolan Bowles,Sinker,25.87737495530708,13.333333333333334
Teagan Disharoom,Sinker,25.16988811037206,6.666666666666667
Adan Nieves,Slider,488.0936992484738,100.0
Jackson Beiler,Slider,353.61012532890595,97.43589743589743
Logan Elsbury,Slider,331.1065523098629,94.87179487179486
Roy Rolston,Slider,227.22379613082987,92.3076923076923
Owen Shissler,Slider,226.2461287390953,89.74358974358975
Mason Orton,Slider,221.46431271987504,87.17948717948718
Ethan Robbins,Slider,192.95556583660465,84.61538461538461
Joe Stellano,Slider,167.26201347681797,82.05128205128204
Mitchell Wilson,Slider,158.45028861194635,79.48717948717949
Devan Tupper,Slider,149.41101990549384,76.92307692307693
Cayden Rose,Slider,137.9085938734278,74.35897435897436
Connor Hale,Slider,116.07863643065754,71.7948717948718
Jack Piper,Slider,113.74188161618042,69.23076923076923
Cade Starrick,Slider,100.82314552807193,66.66666666666666
Jack Wisdom,Slider,98.7571838055643,64.1025641025641
Canden Hardman,Slider,90.4105198016664,61.53846153846154
Noah Suttles,Slider,84.89030674719321,58.97435897435898
Teagan Disharoon,Slider,81.26646524511575,56.41025641025641
Caden Addis,Slider,79.5807729413412,53.84615384615385
Kam Ross,Slider,75.69280530611825,51.28205128205128
Andrew Tay,Slider,75.59058043864879,48.717948717948715
Reed Frazier,Slider,69.43262503203643,46.15384615384615
Ethan Plym,Slider,66.95588608459103,43.58974358974359
Braden Mehn,Slider,65.77300023659267,41.02564102564102
Thomas Mickels,Slider,59.184902246379615,38.46153846153847
Owen Laroe,Slider,59.01920586053424,35.8974358974359
Kam  Ross,Slider,57.583735800103454,33.33333333333333
Brody Stonecipher,Slider,49.53466341717084,30.76923076923077
Lawson Shickel,Slider,39.43243579441793,28.205128205128204
Patrick Kennedy,Slider,35.80453845209769,25.64102564102564
Matt Brummer,Slider,35.75674787065902,23.076923076923077
Luke Gallet,Slider,34.331532223978755,20.51282051282051
Nolan Vanduzer,Slider,31.6754927923388,17.94871794871795
Madden Johnson,Slider,28.579218786544068,15.384615384615385
Payton Knoll,Slider,27.02454760444005,12.82051282051282
Miles Woolsey,Slider,17.120328702327793,10.256410256410255
Braden Alexander,Slider,14.101173801670702,7.6923076923076925
Marshall Ingold,Slider,6.945493762567509,5.128205128205128
Cameron Clifton,Slider,6.9167407134823575,2.564102564102564
